cluster,avg_placement,top4_rate,win_rate,game_counts,cluster_play_rate,Name ,Playstyle ,order,Description ,Difficulty description 
1,4.227454421,0.551330798,0.145754119,10257,0.256425,Innovator Flex,Flex,1,"A highly flexible Innovator core that adapts between Socialite utility and Striker carries, centered on Jayce and Irelia.","Requires strong ""flex"" play and item management."
1,4.227454421,0.551330798,0.145754119,10257,0.256425,Innovator Flex,Hard,2,"A highly flexible Innovator core that adapts between Socialite utility and Striker carries, centered on Jayce and Irelia.","Requires strong ""flex"" play and item management."
2,4.307121097,0.537890327,0.164889566,5252,0.1313,Chemtech Bruisers,"Frontline 
Sustain",1,"A durable Bruiser frontline amplified by Chemtech and Enforcer control, enabling late-game scaling from Silco, Renata, or Viktor.",Straightforward frontline stacking and sustain.
2,4.307121097,0.537890327,0.164889566,5252,0.1313,Chemtech Bruisers,Easy-Meidum ,2,"A durable Bruiser frontline amplified by Chemtech and Enforcer control, enabling late-game scaling from Silco, Renata, or Viktor.",Straightforward frontline stacking and sustain.
3,4.626620474,0.480442557,0.111756817,8948,0.2237,Hextech Sivir, Vertical,1,"A front-to-back AD composition centered on Sivir, using Bruiser durability and Hextech shields to enable sustained Striker damage.",Built entirely around Sivir
3,4.626620474,0.480442557,0.111756817,8948,0.2237,Hextech Sivir,Easy,2,"A front-to-back AD composition centered on Sivir, using Bruiser durability and Hextech shields to enable sustained Striker damage.",Built entirely around Sivir
0,4.661781285,0.469673055,0.109131905,8870,0.22175,Syndicate Clockwork,"Backline 
 Carry",1,"A defensive frontline with Clockwork scaling, enabling high-value Syndicate and AD/AP backline carries like Jhin, Draven, and Zeri.",Requires balancing frontline positioning and backline itemization.
0,4.661781285,0.469673055,0.109131905,8870,0.22175,Backline Carry,Medium,2,"A defensive frontline with Clockwork scaling, enabling high-value Syndicate and AD/AP backline carries like Jhin, Draven, and Zeri.",Requires balancing frontline positioning and backline itemization.
4,4.685898397,0.457815076,0.100554473,6673,0.166825,Arcanist Yordles,AP Reroll,1,"An AP-focused reroll composition built around Yordle economy and Arcanist spell damage, with flexible Twinshot backline options.","Economy management via Yordles is forgiving, but correct reroll thresholds and AP itemization still require planning."
4,4.685898397,0.457815076,0.100554473,6673,0.166825,Arcanist Yordles,Medium,2,"An AP-focused reroll composition built around Yordle economy and Arcanist spell damage, with flexible Twinshot backline options.","Economy management via Yordles is forgiving, but correct reroll thresholds and AP itemization still require planning."
